LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35,LABEL-36,LABEL-37,LABEL-38
72,NEWNEW,스튜디오리코㈜,관심기업,스크랩,[STUDIO LICO] 웹툰 한일 식자 검수 채용 (재택근무),시각디자이너,캐릭터디자이너,일러스트레이터,,경력무관,학력무관,경기,계약직,홈페이지 지원,채용 시 마감,~06/09(일),,네이버그룹,,,,,,,,,,,,,,,,,,,
73,하락5,㈜짬뽕관,관심기업,스크랩,㈜짬뽕관 본사 보조 디자이너 모집 (신입급 (사수o)),그래픽디자이너,광고디자이너,시각디자이너,제품디자이너 외,신입,학력무관,경기,정규직,즉시지원,채용 시 마감,~06/08(토),,,,,,,,,,,,,,,,,,,,,
74,상승13,피기너스,관심기업,스크랩,프리랜서 디자이너 채용(재택근무),그래픽디자이너,,,,경력무관,학력무관,서울,프리랜서,즉시지원,상시채용,,,,,,,,,,,,,,,,,,,,,,
75,상승20,스파이스피넛,관심기업,스크랩,브랜딩 스튜디오 SPICE PEANUT 디자이너 채용,웹디자이너,UI·UX디자이너,그래픽디자이너,시각디자이너 외,경력무관,학력무관,경기,정규직,즉시지원,~06/02(일),,,,,,,,,,,,,,,,,,,,,,
76,상승59,에스이엘인테리어디자인㈜,관심기업,스크랩,SEL 인테리어디자인(주)  2024년도 설계부 디자이너 채용,실내디자이너,공간디자이너,,,신입·경력,초대졸↑,서울,정규직,즉시지원,채용 시 마감,~06/01(토),,,,,,,,,,,,,,,,,,,,,
77,상승7,디만트코리아㈜,관심기업,스크랩,덴마크 의료기기 대표 기업 2024년 상반기 공개 채용,광고디자이너,시각디자이너,편집디자이너,일러스트레이터 외,신입·경력,학력무관,서울,"정규직, 계약직",즉시지원,~05/22(수),,,,,,,,,,,,,,,,,,,,,,
78,하락24,네이버제트㈜,관심기업,스크랩,[NAVER Z] 모션그래픽 체험형 인턴,그래픽디자이너,시각디자이너,영상디자이너,,인턴·신입,학력무관,경기,인턴,홈페이지 지원,~05/20(월),,,,,,,,,,,,,,,,,,,,,,
79,NEWNEW,엠비씨(MBC)아카데미 컴퓨터교육센터,관심기업,스크랩,[서울/경기]100프로 무료 취업교육생모집 (UI.UX웹디자인&퍼블리셔/웹개발/게임/빅데이터/영상),그래픽디자이너,3D디자이너,영상디자이너,웹디자이너 외,신입·경력,고졸↑,"서울, 경기, 인천",연수생/교육생,즉시지원,~06/07(금),,,,,,,,,,,,,,,,,,,,,,
80,상승17,㈜토니모리,관심기업,스크랩,[착한기업] (주)토니모리 콘텐츠디자인 채용 공고,웹디자이너,UI·UX디자이너,,,신입·경력,대졸↑,서울,정규직,즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,,,,
81,NEWNEW,㈜현대CAD디자인직업전문학교,관심기업,스크랩,[국비무료취업교육] 국내/일본 // 기계설계 CAD/CAMㆍ3D프린팅 3D건축디자인 CADㆍBIM // CATIAㆍNXㆍSolidworks(설계) //  국내취업ㆍ일본취업(K-MOVE),그래픽디자이너,3D디자이너,제품디자이너,실내디자이너 외,경력무관,고졸↑,인천,연수생/교육생,홈페이지 지원,상시채용,,,,,,,,,,,,,,,,,,,,,,
82,하락19,㈜아모레퍼시픽,관심기업,스크랩,[아모레퍼시픽] 한율 브랜드 웹 디자인 계약직 채용,광고디자이너,시각디자이너,웹디자이너,,경력무관,학력무관,서울,계약직,즉시지원,~06/02(일),,,,,,,,,,,,,,,,,,,,,,
83,하락18,한국투자증권㈜,관심기업,스크랩,FY2024 한국투자증권 장애인 특별채용,웹디자이너,사무담당자,사무보조,,신입·경력,고졸↑,서울,계약직,홈페이지 지원,~05/16(목),,,,,,,,,,,,,,,,,,,,,,
84,하락8,디에프피,관심기업,스크랩,SPELLEDIT 2024년 상반기 공개 채용 (디자인팀/생산관리팀/비주얼 디렉팅팀/컨텐츠팀/해외영업팀),그래픽디자이너,제품디자이너,산업디자이너,패션디자이너 외,신입·경력,초대졸↑,서울,정규직,즉시지원,~05/30(목),,,,,,,,,,,,,,,,,,,,,,
