LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32
55,,㈜디에이피,관심기업,1000대기업,930 위,1000대기업 순위 닫기,스크랩,(주)디에이피 안성공장 2024년 상반기 채용(기숙사 있음),전기·전자엔지니어,기계엔지니어,설계엔지니어,반도체엔지니어 외,신입·경력,학력무관,경기,정규직,즉시지원,~05/23(목),하락19,,,,,,,,,,,,
56,,한국환경보전원,관심기업,,,,스크랩,2024 화학물질 안전관리 전문인력 양성사업 교육생 모집,화학엔지니어,R&D·연구원,안전관리자,,신입·경력,학력무관,서울,연수생/교육생,홈페이지 지원,~05/27(월),NEWNEW,,,,,,,,,,,,
57,,로지스올그룹,관심기업,,,,스크랩,로지스올엔지니어링 신입/경력사원 채용,전기·전자엔지니어,기계엔지니어,설계엔지니어,반도체엔지니어 외,신입·경력,고졸↑,"서울, 경기",정규직,홈페이지 지원,~05/23(목),하락14,,,,,,,,,,,,
58,,㈜하이엔드코리아,관심기업,,,,스크랩,[LG이노텍]세전 월360만/ 대기업계약직/스마트폰부품생산/기숙사/통근차,설비엔지니어,반도체엔지니어,R&D·연구원,생산직종사자 외,경력무관,학력무관,"서울, 경기, 대전 외",계약직,즉시지원,채용 시 마감,NEWNEW,,,~05/17(금),,,,,,,,,
59,,㈜넥스트세이프,관심기업,,,,스크랩,함께 안전하고 행복한 미래를 만들 어갈 동반자를 찾습니다,화학엔지니어,경영·비즈니스기획,마케팅기획,경영지원 외,신입·경력,학력무관,경기,정규직,즉시지원,채용 시 마감,하락4,,,~05/18(토),,,,,,,,,
60,,쿼드스페이스㈜,관심기업,,,,스크랩,쿼드스페이스 인테리어 시공팀 / 설계팀 / 공무팀 채용,기계엔지니어,설계엔지니어,필드엔지니어,경영·비즈니스기획 외,신입·경력,초대졸↑,"서울, 경기",정규직,즉시지원,~06/07(금),상승54,,,,,,,,,,,,
61,,경동물류,관심기업,,,,스크랩,2024년 경동그룹 신입&경력 사원 모집,통신엔지니어,사무담당자,총무,사무보조 외,신입·경력,학력무관,"서울, 경기, 인천 외",정규직,즉시지원,~05/20(월),하락3,,,,,,,,,,,,
62,,㈜유한양행,관심기업,1000대기업,308 위,1000대기업 순위 닫기,스크랩,㈜유한양행 사원 모집(생산본부),R&D·연구원,물류관리자,자재관리자,포장·가공담당자 외,신입·경력,고졸↑,"서울, 충북","정규직, 계약직",,~05/14(화),하락10,,,,,,,,공고마감,,,,
63,,한국스마트그리드협회,관심기업,,,,스크랩,한국스마트그리드협회 신입 및 경력 채용 공고,전기·전자엔지니어,통신엔지니어,R&D·연구원,기계엔지니어 외,신입·경력,"서울, 경기",정규직,,즉시지원,~05/27(월),NEWNEW,,,,,,,,,,,,
64,,디와이피엔에프㈜,관심기업,,,,스크랩,디와이피엔에프㈜ 신입/경력사원 공개채용,기계엔지니어,설계엔지니어,설비엔지니어,공정엔지니어 외,신입·경력,초대졸↑,"서울, 경기","정규직, 계약직",즉시지원,~05/31(금),하락5,,,,,,,,,,,,
