시도,시군구,폐기물 종류,Unnamed: 3,합계,재활용,소각,매립,기타
,,음식물류 폐기물 분리배출,EMPTY,"154,907.80","154,907.80",0,0,0
광주,동구,합계,,"36,294.10","23,449.10","1,341.60","11,503.40",0
,,종량제방식 등 혼합배출,소계,"17,390.30","4,545.30","1,341.60","11,503.40",0
,,"재활용 
가능자원
 분리배출",소계,"7,129.50","7,129.50",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"11,774.30","11,774.30",0,0,0
광주,서구,합계,,"96,391.40","67,850.50","2,694.50","25,846.40",0
,,종량제방식 등 혼합배출,소계,"36,607.50","10,761.10",0,"25,846.40",0
,,"재활용 
가능자원
 분리배출",소계,"26,306.70","23,612.20","2,694.50",0,0
,,음식물류 폐기물 분리배출,EMPTY,"33,477.20","33,477.20",0,0,0
광주,남구,합계,,"60,143.70","44,535.90","1,625.80","13,982.00",0
,,종량제방식 등 혼합배출,소계,"24,229.80","8,622.00","1,625.80","13,982.00",0
,,"재활용 
가능자원
 분리배출",소계,"14,008.20","14,008.20",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"21,905.70","21,905.70",0,0,0
광주,북구,합계,,"131,861.30","96,828.20","4,772.50","30,260.60",0
,,종량제방식 등 혼합배출,소계,"49,306.20","14,401.90","4,772.50","30,131.80",0
,,"재활용 
가능자원
 분리배출",소계,"38,132.10","38,003.30",0,128.8,0
,,음식물류 폐기물 분리배출,EMPTY,"44,423.00","44,423.00",0,0,0
광주,광산구,합계,,"141,107.70","95,901.90","8,222.50","36,983.30",0
,,종량제방식 등 혼합배출,소계,"55,475.20","15,317.20","3,457.00","36,701.00",0
,,"재활용 
가능자원
 분리배출",소계,"42,304.90","37,257.10","4,765.50",282.3,0
,,음식물류 폐기물 분리배출,EMPTY,"43,327.60","43,327.60",0,0,0
대전,소계,합계,,"491,653.40","340,468.10","79,651.30","71,534.00",0
,,종량제방식 등 혼합배출,소계,"238,032.80","91,605.80","79,651.30","66,775.70",0
,,"재활용 
가능자원
 분리배출",소계,"105,191.10","100,432.80",0,"4,758.30",0
,,음식물류 폐기물 분리배출,EMPTY,"148,429.50","148,429.50",0,0,0
대전,동구,합계,,"74,561.70","51,762.60","11,015.00","11,784.10",0
,,종량제방식 등 혼합배출,소계,"36,315.30","16,938.30","11,015.00","8,362.00",0
,,"재활용 
가능자원
 분리배출",소계,"15,940.20","12,518.10",0,"3,422.10",0
,,음식물류 폐기물 분리배출,EMPTY,"22,306.20","22,306.20",0,0,0
대전,중구,합계,,"75,940.70","55,387.90","11,650.80","8,902.00",0
,,종량제방식 등 혼합배출,소계,"36,635.90","16,401.10","11,650.80","8,584.00",0
,,"재활용 
가능자원
 분리배출",소계,"16,075.60","15,757.60",0,318,0
,,음식물류 폐기물 분리배출,EMPTY,"23,229.20","23,229.20",0,0,0
대전,서구,합계,,"155,221.80","105,851.90","25,425.90","23,944.00",0
,,종량제방식 등 혼합배출,소계,"77,064.60","28,019.80","25,425.90","23,618.90",0
,,"재활용 
가능자원
 분리배출",소계,"32,159.20","31,834.10",0,325.1,0
,,음식물류 폐기물 분리배출,EMPTY,"45,998.00","45,998.00",0,0,0
대전,유성구,합계,,"124,183.70","86,703.70","18,649.90","18,830.10",0
,,종량제방식 등 혼합배출,소계,"57,837.30","20,807.60","18,649.90","18,379.80",0
,,"재활용 
가능자원
 분리배출",소계,"28,944.50","28,494.20",0,450.3,0
,,음식물류 폐기물 분리배출,EMPTY,"37,401.90","37,401.90",0,0,0
대전,대덕구,합계,,"61,745.50","40,762.00","12,909.70","8,073.80",0
,,종량제방식 등 혼합배출,소계,"30,179.70","9,439.00","12,909.70","7,831.00",0
,,"재활용 
가능자원
 분리배출",소계,"12,071.60","11,828.80",0,242.8,0
,,음식물류 폐기물 분리배출,EMPTY,"19,494.20","19,494.20",0,0,0
울산,소계,합계,,"359,921.30","161,471.80","162,120.70","36,328.80",0
,,종량제방식 등 혼합배출,소계,"194,759.60",0,"158,430.80","36,328.80",0
,,"재활용 
가능자원
 분리배출",소계,"67,104.40","63,938.50","3,165.90",0,0
,,음식물류 폐기물 분리배출,EMPTY,"98,057.30","97,533.30",524,0,0
울산,중구,합계,,"58,339.60","27,208.60","26,108.90","5,022.10",0
,,종량제방식 등 혼합배출,소계,"29,701.80",0,"24,679.70","5,022.10",0
,,"재활용 
가능자원
 분리배출",소계,"11,133.70","9,795.80","1,337.90",0,0
,,음식물류 폐기물 분리배출,EMPTY,"17,504.10","17,412.80",91.3,0,0
울산,남구,합계,,"110,471.80","52,224.40","52,023.90","6,223.50",0
,,종량제방식 등 혼합배출,소계,"58,110.00",0,"51,886.50","6,223.50",0
,,"재활용 
가능자원
 분리배출",소계,"23,106.80","23,106.80",0,0,0
,,음식물류 폐기물 분리배출,EMPTY,"29,255.00","29,117.60",137.4,0,0
울산,동구,합계,,"52,090.30","20,247.00","22,314.90","9,528.40",0
,,종량제방식 등 혼합배출,소계,"31,015.50",0,"21,487.10","9,528.40",0
,,"재활용 
가능자원
 분리배출",소계,"8,761.10","7,981.00",780.1,0,0
,,음식물류 폐기물 분리배출,EMPTY,"12,313.70","12,266.00",47.7,0,0
울산,북구,합계,,"65,256.40","30,553.10","28,597.60","6,105.70",0
,,종량제방식 등 혼합배출,소계,"34,328.60",0,"28,222.90","6,105.70",0
,,"재활용 
가능자원
 분리배출",소계,"10,556.10","10,354.10",202,0,0
,,음식물류 폐기물 분리배출,EMPTY,"20,371.70","20,199.00",172.7,0,0
울산,울주군,합계,,"73,763.20","31,238.70","33,075.40","9,449.10",0
,,종량제방식 등 혼합배출,소계,"41,603.70",0,"32,154.60","9,449.10",0
,,"재활용 
가능자원
 분리배출",소계,"13,546.70","12,700.80",845.9,0,0
,,음식물류 폐기물 분리배출,EMPTY,"18,612.80","18,537.90",74.9,0,0
세종,소계,합계,,"101,623.30","70,818.70","30,804.60",0,0
,,종량제방식 등 혼합배출,소계,"59,317.90","29,426.10","29,891.80",0,0
,,"재활용 
가능자원
 분리배출",소계,"26,418.30","25,505.50",912.8,0,0
