LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35
78,하락13,㈜키즈페이,관심기업,스크랩,[키즈페이] 영.유아 교육 콘텐츠,유치원·보육교사,교재개발·교수설계,인바운드상담원,,인턴·경력무관,학력무관,서울,"정규직, 계약직 외",즉시지원,상시채용,,,,,,,,,,,,,,,,,,,
79,상승7,제트피컴퍼니㈜,관심기업,스크랩,"[ZP COMPANY] 교재팀, 컨텐츠팀 채용(중고등 과학 교재, 교육 컨텐츠 기획 및 제작)",학교·특수학교교사,학원강사,교재개발·교수설계,,경력무관,대졸↑,서울,정규직,즉시지원,~06/09(일),,,,,,,,,,,,,,,,,,,
80,NEWNEW,한국건설생활환경시험연구원,관심기업,스크랩,"한국건설생활환경시험연구원 과제계약직 모집 (인천, 용인)",기술·전문강사,사무보조,R&D·연구원,,신입,대졸↑,인천,계약직,즉시지원,~05/26(일),,,,,,,,,,,,,,,,,,,
81,NEWNEW,㈜라이온코리아,관심기업,스크랩,"법정 통번역인(영어,중국어,베트남어,러시아어,수어)",외국어강사,통번역사,,,경력무관,학력무관,서울,계약직,즉시지원,~06/20(목),,,,,,,,,,,,,,,,,,,
82,하락15,주식회사 토브어학원,관심기업,스크랩,평촌 토브영어학원 강사(전임강사/시간제강사)/조교/데스크상담 모집,대학교수·강사,학원강사,외국어강사,학원상담·운영 외,신입·경력,대졸↑,"서울, 경기","정규직, 계약직 외",즉시지원,~06/09(일),,,,,,,,,,,,,,,,,,,
83,하락26,㈜오누이,관심기업,스크랩,[에듀테크 스타트업 오누이/설탭] 분야별 채용,학원상담·운영,웹기획,마케팅기획,CRM마케터 외,신입·경력,대졸↑,서울,"정규직, 계약직",홈페이지 지원,~05/31(금),,,,,,,,,,,,,,,,,,,
84,NEWNEW,㈜에스씨에이아카데미안양,관심기업,스크랩,[SBS아카데미컴퓨터아트학원안양지점] 교육사업부 채용,학원상담·운영,온라인마케터,홍보,,경력무관,학력무관,경기,"정규직, 프리랜서",즉시지원,~06/18(화),,,,,,,,,,,,,,,,,,,
85,NEWNEW,강남대성기숙학원,관심기업,스크랩,강남대성기숙학원 생활담임 선생님 채용(근무지: 경기도 이천),학원상담·운영,,,,경력무관,초대졸↑,경기,계약직,즉시지원,내일마감,,,,,,,,,,,,,,,,,,,
86,상승47,건국대학교산학협력단,관심기업,스크랩,건국대학교 AIPE 연구실 행정 조교,교직원·조교,,,,신입·경력,대졸↑,서울,계약직,즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,
87,NEWNEW,브라이튼어학원,관심기업,스크랩,학원데스크직원모집,학원상담·운영,총무,사무보조,,경력무관,학력무관,경기,"정규직, 계약직",즉시지원,채용 시 마감,,,,~06/19(수),,,,,,,,,,,,,,,
88,하락22,서강영어학원,관심기업,스크랩,(수성구) 서강영어학원 데스크관리 선생님,학원상담·운영,사무담당자,안내데스크·리셉셔니스트,,경력무관,학력무관,대구,정규직,즉시지원,~06/13(목),,,,,,,,,,,,,,,,,,,
89,상승9,튤립아트스튜디오 미술교습소,관심기업,스크랩,유초등 아동미술교습소 보조강사 채용,학원강사,,,,신입·경력,대졸↑,인천,"정규직, 계약직",즉시지원,채용 시 마감,,,,~06/15(토),,,,,,,,,,,,,,,
90,하락19,아이헤이트플라잉버그스㈜,관심기업,,,,,,,교재개발·교수설계,,,,즉시지원,~06/02(일),,,,,,,,,,합격축하금 50만원,스크랩,"영어 콘텐츠 스페셜리스트 (신입,경력)",경력무관,대졸↑,"서울, 경기",정규직,,,
91,상승18,GIA학원,관심기업,스크랩,GIA어학원 유치부 담임/보조교사 모집 (주5일근무),유치원·보육교사,외국어강사,학원상담·운영,,경력무관,대졸↑,서울,정규직,즉시지원,~06/16(일),,,,,,,,,,,,,,,,,,,
92,NEWNEW,㈔대한산업보건협회서울,관심기업,스크랩,"대한산업보건협회 서울 교육사업팀 직원(간호사, 산업안전관련기사)채용",학교·특수학교교사,기술·전문강사,교재개발·교수설계,,경력무관,학력무관,서울,계약직,즉시지원,~06/20(목),,,,,,,,,,,,,,,,,,,
93,하락14,제주관광대학교산학협력단,관심기업,스크랩,제주관광대학교 취업지원관 채용 공고,학원상담·운영,,,,경력무관,학력무관,제주,계약직,즉시지원,~06/02(일),,,,,,,,,,,,,,,,,,,
94,NEWNEW,바른기업교육협회,관심기업,스크랩,"2024년 CS강사 및 브리핑 영업강사 모집 (주5일제, 급여300이상)",기술·전문강사,HRD·HRM,금융영업,영업관리 외,신입·경력,학력무관,대구,정규직,즉시지원,~06/06(목),,,,,,,,,,,,,,,,,,,
95,NEWNEW,케이씨비에스예술단(KCBS 예술단),관심기업,스크랩,"기독예술단 (성악,피아노,작편곡,바이올린) 단원 모집 이메일접수요망",학원강사,대학교수·강사,음반기획,,신입·경력,초대졸↑,서울,"정규직, 아르바이트",즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,
96,하락41,파랑새아동청소년연구소,관심기업,스크랩,"아동청소년연구소 데스크 행정실장님 구합니다(급여,스케줄관리,행정업무) 오후 근무",학원상담·운영,경리,사회복지사,,경력무관,학력무관,서울,"정규직, 계약직",즉시지원,채용 시 마감,,,,~06/06(목),,,,,,,,,,,,,,,
97,NEWNEW,마이엡어학원,관심기업,스크랩,어학원 데스크 직원,학원상담·운영,학원강사,외국어강사,,경력무관,초대졸↑,경기,"정규직, 계약직",즉시지원,~06/19(수),,,,,,,,,,,,,,,,,,,
98,하락54,㈜데이터클립,관심기업,스크랩,[국립국악원] 국악사전 입력사업-프로젝트 팀원 모집,교직원·조교,기술·전문강사,,,경력무관,학력무관,서울,계약직,즉시지원,채용 시 마감,,,,~06/19(수),,,,,,,,,,,,,,,
99,상승37,㈜어셔어학원,관심기업,스크랩,어셔어학원 조교 아르바이트 모집,교직원·조교,학원강사,,,경력무관,초대졸↑,서울,"정규직, 계약직 외",즉시지원,~06/12(수),,,,,,,,,,,,,,,,,,,
100,하락30,건설산업교육원,관심기업,스크랩,[건설산업교육원] 건설기술 교육훈련 운영 담당자 채용,학원상담·운영,교직원·조교,,,신입·경력,대졸↑,서울,정규직,,~05/22(수),,,,,,공고마감,,,,,,,,,,,,,
