LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32
69,상승11,㈜에이블게임즈,관심기업,,,,,스크랩,[에이블게임즈] 인사총무 담당자 모집,인사담당자,총무,경영지원,,경력무관,학력무관,서울,정규직,즉시지원,채용 시 마감,,,,,,,,,,~07/02(화),,
70,하락5,엘에스엠앤엠,관심기업,LS그룹,1000대기업,50 위,1000대기업 순위 닫기,스크랩,각 부문별 상시채용,HRD·HRM,경영·비즈니스기획,품질관리자,안전관리자 외,신입·경력,대졸↑,"서울, 경기, 울산",,홈페이지 지원,상시채용,,,,,,,,,,,,
71,상승11,와이비에스디엔씨,관심기업,,,,,스크랩,[정규직] 인사총무 신입/경력 직원채용(중식제공),HRD·HRM,인사담당자,총무,,경력무관,학력무관,"서울, 인천",정규직,즉시지원,오늘 15시 마감,,,,,,,,,,,,
72,하락12,삼호산업(주),관심기업,,,,,스크랩,2024 삼호산업(주) 하반기 신입사원 공개채용,인사담당자,HRD·HRM,노무관리자,,신입,대졸↑,아시아·중동,정규직,즉시지원,~05/27(월),,,,,,,,,,,,
73,상승2,디만트코리아㈜,관심기업,,,,,스크랩,덴마크 의료기기 대표 기업 2024년 상반기 공개 채용,인사담당자,HRD·HRM,웹기획,마케팅기획 외,신입·경력,학력무관,서울,"정규직, 계약직",즉시지원,~06/21(금),,,,,,,,,,,,
74,하락13,㈜샘표아이에스피,관심기업,,,,,스크랩,"[샘표그룹 계열사] 경기권역 잡매니저 신입,경력 채용 / 원격근무",인사담당자,노무관리자,잡매니저,헤드헌터 외,경력무관,고졸↑,"서울, 경기",정규직,즉시지원,~05/31(금),,,,,,,,,,,,
75,하락2,대한법률학원,관심기업,,,,,스크랩,[국비무료 취업연수생] 법률사무원 취업희망자 모집,인사담당자,HRD·HRM,노무관리자,경영·비즈니스기획 외,신입·경력,학력무관,"서울, 경기, 인천",연수생/교육생,즉시지원,~06/30(일),,,,,,,,,,,,
76,NEWNEW,제이에이치솔루션,관심기업,,,,,스크랩,[경영지원부] 총무/회계/인사 업무담당자 채용,인사담당자,총무,회계담당자,,경력무관,학력무관,서울,정규직,즉시지원,~06/20(목),,,,,,,,,,,,
77,상승11,코카콜라음료㈜,관심기업,LG그룹,1000대기업,285 위,1000대기업 순위 닫기,스크랩,상시인재 Pool 등록 (신입),인사담당자,경영·비즈니스기획,브랜드마케터,물류관리자 외,인턴·신입,"서울, 경기, 충남 외",인턴,,홈페이지 지원,상시채용,,,,,,,,,,,,
78,하락20,㈜넵스,관심기업,,,,,스크랩,24년 넵스 인사 및 영업직 경력 채용,인사담당자,HRD·HRM,노무관리자,사무담당자 외,신입·경력,"서울, 경기",정규직,,즉시지원,오늘마감,,,,,,,,,,,,
