LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34
68,상승7,세니아의원,관심기업,,,,스크랩,"[연 4200만,강남역] 세니아클리닉 피부관리사 팀원 채용",인바운드상담원,아웃바운드상담원,간호조무사,간호사 외,신입·경력,학력무관,"서울, 경기","정규직, 계약직",즉시지원,채용 시 마감,~06/18(화),,,,,,,,,,,,,,
69,상승14,㈜이앤임,관심기업,,,,스크랩,[기본급 월350만/차등지급]부동산 자산관리/컨설팅 신입/경력 모집,인바운드상담원,아웃바운드상담원,AE(광고기획자),브랜드마케터 외,신입·경력,학력무관,"서울, 경기","계약직, 프리랜서",즉시지원,내일마감,,,,,,,,,,,,,,,
70,하락3,대한법률학원,관심기업,,,,스크랩,[국비무료 취업연수생] 법률사무원 취업희망자 모집,인바운드상담원,아웃바운드상담원,경영·비즈니스기획,마케팅기획 외,신입·경력,학력무관,"서울, 경기, 인천",연수생/교육생,즉시지원,~06/30(일),,,,,,,,,,,,,,,
71,상승15,㈜바이와이제이,관심기업,,,,스크랩,"[NAIN나인/로라로라/바스타일] 상품기획,디자인실, 우븐, 소재, 의류 테크니컬, BM, 해외사업, 마케팅, 온라인MD, 이커머스, 니트, PHP 개발자, CS, 피팅, 물류, 생산품질 (신입/경력) 모집",인바운드상담원,고객센터관리자,웹기획,회계담당자 외,신입·경력,학력무관,서울,"정규직, 계약직",즉시지원,~05/31(금),,,,,,,,,,,,,,,
72,상승10,㈜하이픈스,관심기업,,,,스크랩,[콴다과외] 월 500 가능/ TM 인바운드 상담원 모집,인바운드상담원,아웃바운드상담원,,,신입·경력,학력무관,"서울, 경기",계약직,즉시지원,상시채용,,,,,,,,,,,,,,,
73,상승21,제이에이치디앤씨,관심기업,,,,스크랩,"[월700이상/기본급,인센티브,성과급] 부동산 전문직 신입사원 채용",아웃바운드상담원,서비스영업,분양매니저,,경력무관,학력무관,서울,"계약직, 프리랜서",즉시지원,채용 시 마감,~05/31(금),,,,,,,,,,,,,,
74,상승22,㈜리파인,관심기업,,,,스크랩,㈜리파인 각 부문별 신입/경력 채용공고,인바운드상담원,고객센터관리자,사무담당자,CRM마케터 외,신입·경력,초대졸↑,서울,정규직,즉시지원,~05/31(금),,,,,,,,,,,,,,,
75,하락4,㈜윤성에프앤씨,관심기업,,,,스크랩,각분야 신입/경력사원 모집 (PM/영업/설계/PLC등),고객센터관리자,PL·PM·PO,HRD·HRM,구매관리자 외,신입·경력,학력무관,"서울, 경기, 미국","정규직, 계약직",즉시지원,상시채용,,,,,,,,,,,,,,,
76,하락2,㈜아이써치마케팅,관심기업,,,,스크랩,"화곡역 / 인스타그램마케팅 마케터 채용 [월300이상] 사무보조,TM상담사,고객관리,인바운드,아웃바운드",아웃바운드상담원,인바운드상담원,퍼포먼스마케터,온라인마케터 외,신입·경력,고졸↑,"서울, 경기, 인천","정규직, 계약직",즉시지원,~06/02(일),,,,,,,,,,,,,,,
77,NEWNEW,㈜신진,관심기업,,,,스크랩,2024년 신진입찰 영업팀 채용 공고,인바운드상담원,아웃바운드상담원,홍보,법인영업 외,신입·경력,학력무관,"대전, 세종, 충남",정규직,즉시지원,~05/29(수),,,,,,,,,,,,,,,
