LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,LABEL-6,LABEL-7,LABEL-8,LABEL-9,LABEL-10,LABEL-11,LABEL-12,LABEL-13,LABEL-14,LABEL-15,LABEL-16,LABEL-17,LABEL-18,LABEL-19,LABEL-20,LABEL-21,LABEL-22,LABEL-23,LABEL-24,LABEL-25,LABEL-26,LABEL-27,LABEL-28,LABEL-29,LABEL-30,LABEL-31,LABEL-32,LABEL-33,LABEL-34,LABEL-35,LABEL-36,LABEL-37,LABEL-38
41,,대구농수산물유통관리공사,관심기업,스크랩,2024년도 직원 채용공고(일반행정/전산행정/기계/건축/전기),보안엔지니어,경영·비즈니스기획,사무담당자,총무 외,신입·경력,학력무관,"대구, 경북",정규직,홈페이지 지원,~05/08(수),상승3,,,,,,,,,,,,,,,,,,,,,
42,,㈜에이티바이오,관심기업,스크랩,㈜에이티바이오 직무별 직원 모집,시스템엔지니어,네트워크엔지니어,사무담당자,총무 외,신입·경력,학력무관,"서울, 경기",정규직,즉시지원,상시채용,상승5,,,,,,,,,,,,,,,,,,,,,
43,,이지케어텍㈜,관심기업,스크랩,[이지케어텍] 24년 신입 개발자 모집 (공채 18기),앱개발자,시스템엔지니어,소프트웨어개발자,프론트엔드개발자 외,인턴·신입·경력,초대졸↑,"서울, 경기, 충남 외",인턴,즉시지원,내일 23시 마감,하락7,,,,,,,,,,,,,,,,,,,,,
44,,㈜글로벌스탠다드테크놀로지,관심기업,스크랩,반도체장비 유지보수(평택/아산/화성/기흥/청주) 사원모집,소프트웨어개발자,하드웨어개발자,전기·전자엔지니어,기계엔지니어 외,신입·경력,고졸↑,"경기, 충남, 충북",정규직,즉시지원,~05/30(목),상승2,우수기업,,우수기업 설명 닫기,,,우수기업이란?,"정부기관, 자치단체, 공공기관, 민간부문 등 공신력있는기관에서 인증된 일하기 좋은 기업입니다.",,,,,,,,,,,,,,
45,유지,㈜위즈코리아,관심기업,스크랩,㈜위즈코리아 `24년도 상반기 직무별 신입/경력자 정기채용,백엔드개발자,프론트엔드개발자,웹개발자,앱개발자 외,인턴·신입·경력,초대졸↑,"서울, 대전, 광주 외","정규직, 인턴 외",즉시지원,~05/31(금),,,,,,,,,,,,,,,,,,,,,,
46,,㈜다우데이타,관심기업,스크랩,[다우키움그룹] 2024년 다우데이타 2분기 채용,백엔드개발자,소프트웨어개발자,웹개발자,앱개발자 외,신입·경력,대졸↑,서울,정규직,홈페이지 지원,내일마감,하락14,,,,다우키움그룹,,,,,,,,,,,,,,,,,
47,,한국세라믹기술원,관심기업,스크랩,한국세라믹기술원 2024년도 제2분기 채용공고(체험형 인턴),데이터엔지니어,R&D·연구원,바이오·제약연구원,경영·비즈니스기획 외,인턴·경력무관,학력무관,"경기, 충남, 충북 외",인턴,홈페이지 지원,~05/16(목),상승9,,,,,,,,,,,,,,,,,,,,,
48,,㈜사이냅소프트,관심기업,스크랩,[2024년 신입·경력 공개채용] 각 부문별 채용,백엔드개발자,프론트엔드개발자,웹개발자,시스템엔지니어 외,신입·경력,학력무관,서울,정규직,홈페이지 지원,~05/31(금),하락15,,,,,,,,,,,,,,,,,,,,,
49,,휴먼교육센터,관심기업,스크랩,[전액무료 IT취업] 파이썬/데이터분석/인공지능/풀스택(무료숙식교육),백엔드개발자,프론트엔드개발자,웹개발자,시스템엔지니어 외,신입·경력,학력무관,"서울, 경기, 인천 외",연수생/교육생,즉시지원,내일마감,상승3,,,,,,,,,,,,,,,,,,,,,
50,,한국잡월드파트너즈㈜,관심기업,스크랩,한국잡월드파트너즈㈜ 24년 제2차 정기 공개채용 [정규직/기간제],웹개발자,앱개발자,경영·비즈니스기획,경영지원 외,신입·경력,학력무관,"서울, 경기, 전국","정규직, 계약직",즉시지원,~05/14(화),하락2,,,,,,,,,,,,,,,,,,,,,
